Entity,Year,Deforestation
Africa,1990,4096000
Africa,2000,4314000
Africa,2010,4444000
Africa,2015,4414000
Algeria,1990,14800
Algeria,2000,14500
Algeria,2010,1400
Algeria,2015,5400
Argentina,1990,213600
Argentina,2000,327400
Argentina,2010,242400
Argentina,2015,134800
Aruba,1990,0
Aruba,2000,0
Aruba,2010,0
Aruba,2015,0
Asia,1990,4170000
Asia,2000,2684000
Asia,2010,2925000
Asia,2015,2235000
Australia,1990,626200
Australia,2000,632300
Australia,2010,416840
Austria,1990,3450
Austria,2000,7790
Austria,2010,5800
Austria,2015,5810
Azerbaijan,2010,81640
Azerbaijan,2015,86360
Bahrain,1990,10
Bahrain,2000,10
Bahrain,2010,0
Bahrain,2015,0
Bangladesh,1990,7500
Bangladesh,2000,3200
Bangladesh,2010,18190
Bangladesh,2015,0
Belarus,2000,7200
Belarus,2010,4100
Belarus,2015,3500
Belgium,2010,1810
Belgium,2015,1500
Belize,1990,14070
Belize,2000,6790
Belize,2010,11710
Belize,2015,11160
Bhutan,1990,0
Bhutan,2000,190
Bhutan,2010,340
Bhutan,2015,430
Bolivia,1990,270330
Bolivia,2000,200050
Bolivia,2010,190690
Bolivia,2015,242540
Brazil,1990,4254800
Brazil,2000,5129300
Brazil,2010,1867800
Brazil,2015,1695700
Bulgaria,1990,0
Bulgaria,2000,0
Bulgaria,2010,0
Bulgaria,2015,0
Burundi,1990,8250
Burundi,2000,0
Burundi,2010,0
Burundi,2015,0
Cameroon,1990,90550
Cameroon,2000,71700
Cameroon,2010,58000
Cameroon,2015,58000
Canada,1990,54420
Canada,2000,50450
Canada,2010,41300
Canada,2015,37520
Cape Verde,2000,2840
Cape Verde,2010,1900
Cape Verde,2015,820
Cayman Islands,1990,20
Cayman Islands,2000,20
Cayman Islands,2010,0
Cayman Islands,2015,0
Central African Republic,1990,30000
Central African Republic,2000,30000
Central African Republic,2010,30000
Central African Republic,2015,30000
Chile,1990,10110
Chile,2000,14210
Chile,2010,11270
Chile,2015,9400
China,1990,327540
China,2000,312760
China,2010,329970
China,2015,133200
Colombia,1990,229130
Colombia,2000,214330
Colombia,2010,143170
Colombia,2015,199230
Congo,1990,12000
Congo,2000,12000
Congo,2010,12000
Congo,2015,13800
Costa Rica,1990,9790
Costa Rica,2000,2650
Costa Rica,2010,0
Costa Rica,2015,0
Croatia,2000,330
Croatia,2010,90
Croatia,2015,50
Cuba,1990,0
Cuba,2000,0
Cuba,2010,0
Cuba,2015,0
Denmark,1990,30
Denmark,2000,180
Denmark,2010,260
Denmark,2015,620
Djibouti,1990,0
Djibouti,2000,0
Djibouti,2010,0
Djibouti,2015,160
Dominican Republic,1990,620
Dominican Republic,2000,250
Dominican Republic,2010,18490
Ecuador,1990,129940
Ecuador,2000,105080
Ecuador,2010,96130
Ecuador,2015,87220
El Salvador,1990,4500
El Salvador,2000,4500
El Salvador,2010,4500
El Salvador,2015,4500
Equatorial Guinea,2000,8360
Equatorial Guinea,2010,8360
Equatorial Guinea,2015,8360
Estonia,2000,6340
Estonia,2010,11230
Estonia,2015,5010
Ethiopia,2000,92000
Ethiopia,2010,92000
Ethiopia,2015,92000
Europe,1990,88000
Europe,2000,92000
Europe,2010,201000
Europe,2015,69000
Falkland Islands,1990,0
Falkland Islands,2000,0
Falkland Islands,2010,0
Falkland Islands,2015,0
Faroe Islands,1990,0
Faroe Islands,2000,0
Faroe Islands,2010,0
